Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5",C_Disc_D3.0mm_W1.6mm_P2.50mm,5,0.1u,
C7,CP_Radial_D5.0mm_P2.50mm,1,10uF,
"D1, D5",D_DO-34_SOD68_P7.62mm_Horizontal,2,1S3,
D2,LED_D3.0mm,1,RED,
D3,LED_D3.0mm,1,GREEN,
D4,LED_D3.0mm,1,YELLOW,
J3,PinHeader_1x08_P2.54mm_Vertical,1,EXT_GPIO1,
J4,PinHeader_1x02_P2.54mm_Vertical,1,EXT_GPIO2,
J5,PinHeader_1x06_P2.54mm_Horizontal_NoFeet,1,Serial,
J6,USB_Micro-B_Hirose_ZX62-B-5PA,1,USB_B_Micro,
J8,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
JP1,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,VCC_Jumper,
JP2,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,CE1_J,
JP3,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,CS2_J,
JP4,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,OE_J,
JP5,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,WE_J,
"R1, R2, R3",R_Axial_L5.5mm_D2.0mm_P7.62mm_Horizontal,3,1k,
R4,R_Axial_L5.5mm_D2.0mm_P7.62mm_Horizontal,1,10k,
SW1,Tact_SW,1,RUN,
SW2,Tact_SW,1,BOOTSEL,
U1,PLCC-64_THT-Socket,1,Pimoroni PGA2350B,
U2,RB2350B_Core_Board,1,RB2350B_Core_Board,
U3,DIP-14_W7.62mm_Socket,1,74HC00,
U4,DIP-40_SidePin_Z80,1,Z80CPU,
U5,DIP-32_W15.24mm_OvalPads,1,HM628128,
